Category,Descript
Time of Day,I usually smoke after school
Wake-up routine,I woke up and wanted to smoke
Boredom,I was bored and had nothing to do
Vape smell,The vape smell made me crave it
Stress,Vape makes me relaxed
Seeing someone vaping,Seeing others vaping makes me crave it
Fatigue,I was too tired and wanted something to help
Partying,It is cool to vape while partying
Sex,Its satisfying to vape after having sex
Time of Day,Helps with my sweet tooth
Wake-up routine,I do it to quit drinking
Boredom,I learn tricks to impress girls
Vape smell,Smell aerosol from a vape
Stress,I started after my daugter was born
Seeing someone vaping,Others encourage me to smoke with them
Fatigue,After playing soccer I smoke 
Partying,Drinking and vaping feels so nice
Sex,Vape makes me better at it
Time of Day,I like to smoke at night to celebrate
Wake-up routine,I do it instead of smoking cigarettes
Boredom,I did not have anything to do all day
Vape smell,The smell is so amazing
Stress,Corona virus made me start smoking
Seeing someone vaping,Felt peer pressure
Fatigue,Working out made me so tired
Partying,I was vibing with the music 
Sex,The sex was breathtaking
Time of Day,I smoked while watching the sun set
Wake-up routine,My mother was annoying in the morning
Boredom,Corona virus made me stay at home
Vape smell,I bought a new flavor with a mesmerizing smell
Stress,I am scared the world will end
Seeing someone vaping,I feel alone when I do not smoke with them
Fatigue,I got tired from studying
Partying,The colors inspired me to smoke
Sex,Me and my woman take turns
Wake-up routine,My wife was irritating
Boredom,The book I was reading was boring
Vape smell,The vapor just had the smell of cotton candy my favourite
Stress,My girlfriend dumped me
Seeing someone vaping,I wanted to impress them with my vaping skills
Fatigue,Dancing all night made me tired
Partying,Helps me focus
Sex,Sex causes fatigue because I take a while 
Wake-up routine,My wife didn’t make me breakfast
Boredom,This movie was boring
Vape smell,smells like nicotine
Stress,I was so depressed I was crying all night
Seeing someone vaping,Do it socially with my friends
Fatigue,worked out too hard at the gym
Partying,im drunk
Sex,My friends advised me to try it after sex
Wake-up routine,I need to vape with my coffee in the morning
Boredom,I was bored on the airplane
Vape smell,that scent is great
Stress,Stressed about impregnating girlfriend
Seeing someone vaping,wow I wish I could do that too
Fatigue,did too many pushups
Partying,its lit right now
Sex,Allows me to perform better in bed
Wake-up routine,Helps control my narcoleptic episodes
Boredom,My friends and I are boring 
Vape smell,caught a whiff
Stress,I felt irritated
Seeing someone vaping,I copy others to try and fit in
Fatigue,Tired from working all day
Partying,hungover right now
Sex,I cheated on my girlfriend with this girl
